Instancia,Algoritmo,Resultado,Tempo,Memoria,Qualidade
eil51.tsp, tatt, 584, 0.001996755599975586, 56.890625, 72.94520547945206%
eil51.tsp, ctfds, 520, 0.007566928863525391, 57.4375, 81.92307692307692%
berlin52.tsp, tatt, 10114, 0.0019998550415039062, 56.91796875, 74.56990310460748%
berlin52.tsp, ctfds, 8977, 0.010097742080688477, 57.43359375, 84.01470424417957%
st70.tsp, tatt, 888, 0.004513263702392578, 57.41796875, 76.01351351351352%
st70.tsp, ctfds, 797, 0.021031618118286133, 58.12890625, 84.69259723964868%
eil76.tsp, tatt, 696, 0.005520343780517578, 57.515625, 77.29885057471265%
eil76.tsp, ctfds, 661, 0.02616262435913086, 58.6015625, 81.39183055975793%
pr76.tsp, tatt, 145336, 0.004662036895751953, 57.44140625, 74.4199647712886%
pr76.tsp, ctfds, 123205, 0.018620729446411133, 57.87109375, 87.78783328598678%
rat99.tsp, tatt, 1693, 0.007500886917114258, 58.37890625, 71.52982870643827%
rat99.tsp, ctfds, 1463, 0.039064645767211914, 58.609375, 82.77511961722487%
kroA100.tsp, tatt, 27210, 0.009520530700683594, 58.34765625, 78.21389195148842%
kroA100.tsp, ctfds, 25692, 0.047904014587402344, 59.12109375, 82.83512377393741%
kroB100.tsp, tatt, 25885, 0.009267807006835938, 58.60546875, 85.53602472474407%
kroB100.tsp, ctfds, 26034, 0.03371858596801758, 59.14453125, 85.04647768302989%
kroC100.tsp, tatt, 27968, 0.0075495243072509766, 58.2734375, 74.1883581235698%
kroC100.tsp, ctfds, 24587, 0.04853510856628418, 59.0703125, 84.39012486273234%
kroD100.tsp, tatt, 27112, 0.0076334476470947266, 58.5078125, 78.54086751254057%
kroD100.tsp, ctfds, 25042, 0.045060157775878906, 58.9296875, 85.03314431754653%
kroE100.tsp, tatt, 29965, 0.0075762271881103516, 58.38671875, 73.64592024028033%
kroE100.tsp, ctfds, 26226, 0.07293415069580078, 59.31640625, 84.14550446122169%
rd100.tsp, tatt, 10790, 0.007232189178466797, 58.59375, 73.30861909175162%
rd100.tsp, ctfds, 9654, 0.07404375076293945, 59.44921875, 81.93494924383675%
eil101.tsp, tatt, 830, 0.007615089416503906, 58.30859375, 75.78313253012048%
eil101.tsp, ctfds, 760, 0.05832529067993164, 59.0390625, 82.76315789473684%
lin105.tsp, tatt, 19495, 0.0078277587890625, 58.76171875, 73.7573736855604%
lin105.tsp, ctfds, 17439, 0.0430455207824707, 59.1953125, 82.45312231205918%
pr107.tsp, tatt, 54237, 0.009668350219726562, 59.03125, 81.68409019672917%
pr107.tsp, ctfds, 50445, 0.037305355072021484, 59.59765625, 87.82436316780652%
pr124.tsp, tatt, 74139, 0.01349782943725586, 59.7578125, 79.62071244554149%
pr124.tsp, ctfds, 66691, 0.028046846389770508, 60.37109375, 88.51269286710351%
bier127.tsp, tatt, 158626, 0.01476430892944336, 59.41015625, 74.56659059674958%
bier127.tsp, ctfds, 141010, 0.12874579429626465, 61.0703125, 83.88199418480959%
